<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
HYDR;W;12/06/17;000000;0.7900000;2377678000
HYDR;W;19/06/17;000000;0.7780000;3220431000
HYDR;W;26/06/17;000000;0.7962000;1797516000
HYDR;W;03/07/17;000000;0.7840000;2618105000
HYDR;W;10/07/17;000000;0.7844000;2866012000
HYDR;W;17/07/17;000000;0.8040000;1791036000
HYDR;W;24/07/17;000000;0.7856000;1915066000
HYDR;W;31/07/17;000000;0.7665000;2509143000
HYDR;W;07/08/17;000000;0.8150000;3759573000
HYDR;W;14/08/17;000000;0.8224000;3683932000
HYDR;W;21/08/17;000000;0.8355000;1967583000
HYDR;W;28/08/17;000000;0.8305000;3940541000
HYDR;W;04/09/17;000000;0.8249000;3324059000
HYDR;W;11/09/17;000000;0.8060000;3357671000
HYDR;W;18/09/17;000000;0.8102000;2631975000
HYDR;W;25/09/17;000000;0.8514000;5326521000
HYDR;W;02/10/17;000000;0.8550000;4029756000
HYDR;W;09/10/17;000000;0.8790000;4190574000
HYDR;W;16/10/17;000000;0.8395000;3627703000
HYDR;W;23/10/17;000000;0.8175000;2736557000
HYDR;W;30/10/17;000000;0.8357000;3048065000
HYDR;W;06/11/17;000000;0.8500000;2885175000
HYDR;W;13/11/17;000000;0.8258000;2404910000
HYDR;W;20/11/17;000000;0.8340000;1372140000
HYDR;W;27/11/17;000000;0.8200000;1868570000
HYDR;W;04/12/17;000000;0.8079000;2023646000
HYDR;W;11/12/17;000000;0.8247000;1777243000
HYDR;W;18/12/17;000000;0.7349000;5892457000
HYDR;W;25/12/17;000000;0.7289000;1379736000
HYDR;W;01/01/18;000000;0.7587000;861175000
HYDR;W;08/01/18;000000;0.7675000;1795876000
HYDR;W;15/01/18;000000;0.7844000;1993622000
HYDR;W;22/01/18;000000;0.7608000;2751421000
HYDR;W;29/01/18;000000;0.7278000;3895322000
HYDR;W;05/02/18;000000;0.7307000;3075602000
HYDR;W;12/02/18;000000;0.7698000;2387194000
HYDR;W;19/02/18;000000;0.7810000;1571455000
HYDR;W;26/02/18;000000;0.7792000;2260164000
HYDR;W;05/03/18;000000;0.7789000;1370273000
HYDR;W;12/03/18;000000;0.7654000;1818143000
HYDR;W;19/03/18;000000;0.7340000;1981898000
HYDR;W;26/03/18;000000;0.7699000;3327832000
HYDR;W;02/04/18;000000;0.7534000;1943971000
HYDR;W;09/04/18;000000;0.7430000;5122423000
HYDR;W;16/04/18;000000;0.7398000;2402493000
HYDR;W;23/04/18;000000;0.7503000;1784058000
HYDR;W;30/04/18;000000;0.7440000;1243807000
HYDR;W;07/05/18;000000;0.7450000;1415118000
HYDR;W;14/05/18;000000;0.7434000;1803352000
HYDR;W;21/05/18;000000;0.7270000;1411654000
HYDR;W;28/05/18;000000;0.7150000;2081374000
HYDR;W;04/06/18;000000;0.6898000;1834491000
HYDR;W;11/06/18;000000;0.6912000;2595014000
HYDR;W;18/06/18;000000;0.6892000;4216057000
HYDR;W;25/06/18;000000;0.6756000;1899657000
HYDR;W;02/07/18;000000;0.6800000;1721083000
HYDR;W;09/07/18;000000;0.6910000;1328163000
HYDR;W;16/07/18;000000;0.6793000;1499206000
HYDR;W;23/07/18;000000;0.6738000;724227000
HYDR;W;30/07/18;000000;0.6682000;1048629000
HYDR;W;06/08/18;000000;0.6316000;1583599000
HYDR;W;13/08/18;000000;0.6246000;1499437000
HYDR;W;20/08/18;000000;0.6233000;1195846000
HYDR;W;27/08/18;000000;0.6369000;1799136000
HYDR;W;03/09/18;000000;0.6203000;1302045000
HYDR;W;10/09/18;000000;0.6243000;2170328000
HYDR;W;17/09/18;000000;0.6219000;3725367000
HYDR;W;24/09/18;000000;0.6206000;2083203000
HYDR;W;01/10/18;000000;0.6218000;2452805000
HYDR;W;08/10/18;000000;0.5890000;2712744000
HYDR;W;15/10/18;000000;0.5609000;2887120000
HYDR;W;22/10/18;000000;0.5345000;3725477000
HYDR;W;29/10/18;000000;0.5515000;2485049000
HYDR;W;05/11/18;000000;0.5553000;2302786000
HYDR;W;12/11/18;000000;0.5379000;4181328000
HYDR;W;19/11/18;000000;0.5410000;2847558000
HYDR;W;26/11/18;000000;0.5046000;12506920000
HYDR;W;03/12/18;000000;0.5050000;5716196000
HYDR;W;10/12/18;000000;0.4910000;4143724000
HYDR;W;17/12/18;000000;0.4830000;5719594000
HYDR;W;24/12/18;000000;0.4858000;3002602000
HYDR;W;31/12/18;000000;0.4921000;460436000
HYDR;W;07/01/19;000000;0.5070000;2464475000
HYDR;W;14/01/19;000000;0.5149000;2497122000
HYDR;W;21/01/19;000000;0.5093000;2755619000
HYDR;W;28/01/19;000000;0.5132000;2316490000
HYDR;W;04/02/19;000000;0.5252000;2806322000
HYDR;W;11/02/19;000000;0.5185000;2230957000
HYDR;W;18/02/19;000000;0.5071000;1805982000
HYDR;W;25/02/19;000000;0.4999000;2305291000
HYDR;W;04/03/19;000000;0.4941000;949119000
HYDR;W;11/03/19;000000;0.5024000;1981965000
HYDR;W;18/03/19;000000;0.5049000;1949751000
HYDR;W;25/03/19;000000;0.5008000;1150205000
HYDR;W;01/04/19;000000;0.5031000;1345433000
HYDR;W;08/04/19;000000;0.5200000;1832165000
HYDR;W;15/04/19;000000;0.5276000;3478946000
HYDR;W;22/04/19;000000;0.5355000;2719375000
HYDR;W;29/04/19;000000;0.5425000;1216565000
HYDR;W;06/05/19;000000;0.5325000;856884000
HYDR;W;13/05/19;000000;0.5330000;1693231000
HYDR;W;20/05/19;000000;0.5466000;2541678000
HYDR;W;27/05/19;000000;0.5399000;1405562000
HYDR;W;03/06/19;000000;0.5719000;3934484000
HYDR;W;10/06/19;000000;0.6030000;4431392000
HYDR;W;17/06/19;000000;0.5900000;3813364000
HYDR;W;24/06/19;000000;0.6004000;2230017000
HYDR;W;01/07/19;000000;0.6215000;3557461000
